slug	name	asset	source_type	source_page	naver_candidate
studio-naver-1399123418	그루브뮤직스튜디오	naver-1399123418.webp	naver-place-or-booking	https://m.booking.naver.com/booking/10/bizes/697587	4
studio-naver-1413701393	앨앤에스스튜디오	naver-1413701393.webp	official-instagram-profile	https://www.instagram.com/lightandsalt_studio	
studio-naver-1431501659	스튜디오련	naver-1431501659.webp	naver-place-or-booking	https://m.booking.naver.com/booking/10/bizes/649789	1
studio-naver-1441528596	웨이브 스튜디오	naver-1441528596.webp	naver-place-or-booking	https://m.booking.naver.com/booking/6/bizes/664119	1
studio-naver-1454253859	뮤합주실	naver-1454253859.webp	naver-place-or-booking	https://m.booking.naver.com/booking/10/bizes/1056575	1
studio-naver-1458963585	팜뮤직 스튜디오	naver-1458963585.webp	naver-place-or-booking	https://m.booking.naver.com/booking/10/bizes/356074	1
studio-naver-1463949418	MUFAC 합주실 & 드럼 스튜디오	naver-1463949418.webp	naver-place-or-booking	https://m.booking.naver.com/booking/10/bizes/686246	6
studio-naver-1477558058	우리동네합주실	naver-1477558058.webp	naver-place-or-booking	https://m.booking.naver.com/booking/10/bizes/1237447	1
studio-naver-1510661945	마이부스 연습실 연신내점	naver-1510661945.webp	naver-place-or-booking	https://m.booking.naver.com/booking/10/bizes/860988	1
studio-naver-1544433117	분당합주실	naver-1544433117.webp	naver-place-or-booking	https://m.booking.naver.com/booking/10/bizes/1268865	1
studio-naver-1549420636	뮤즈디오 합주실 연습실 북수원	naver-1549420636.webp	naver-place-or-booking	https://m.booking.naver.com/booking/10/bizes/1203515	1
studio-naver-1564915611	가스펠뮤직스튜디오 음악연습실	naver-1564915611.webp	official-instagram-profile	https://www.instagram.com/GOSPEL_MUSICSTUDIO	
studio-naver-1566466933	라스 뮤직 합주실	naver-1566466933.webp	official-naver-blog-profile	https://blog.naver.com/lasmusic	
studio-naver-1567790203	A7 스튜디오	naver-1567790203.webp	official-naver-blog-profile	https://blog.naver.com/a7studio_paju	
studio-naver-1574591189	아지스튜디오	naver-1574591189.webp	naver-place-or-booking	https://m.booking.naver.com/booking/10/bizes/1301440	1
studio-naver-1583269108	리페어샵 신당	naver-1583269108.webp	official-instagram-profile	https://www.instagram.com/repair_shop_sindang	
studio-naver-1600050536	아트콤마스튜디오 합주실호수점	naver-1600050536.webp	official-instagram-profile	https://www.instagram.com/artcommastudio	
studio-naver-1611871682	줄라이 합주실 스튜디오	naver-1611871682.webp	naver-place-or-booking	https://m.booking.naver.com/booking/10/bizes/1334544	1
studio-naver-1626065452	촉 음악 연습실/합주실	naver-1626065452.webp	naver-place-or-booking	https://m.booking.naver.com/booking/10/bizes/395148	1
studio-naver-1626428222	윤악당	naver-1626428222.webp	naver-place-or-booking	https://m.booking.naver.com/booking/10/bizes/1094313	1
studio-naver-1646463548	에이타입사운드 합주실 라운지점	naver-1646463548.webp	official-instagram-profile	https://www.instagram.com/atypesound	
studio-naver-1659921965	이지음악공간	naver-1659921965.webp	naver-place-or-booking	https://m.booking.naver.com/booking/10/bizes/1023492	2
studio-naver-1661209508	나비 공연장	naver-1661209508.webp	official-web-profile	http://pf.kakao.com/_xofcEG	
studio-naver-1667657449	져니스뮤직블럭	naver-1667657449.webp	official-web-profile	http://www.facebook.com/musicblockno1/	
studio-naver-1706551089	리오 더 스튜디오	naver-1706551089.webp	official-naver-blog-profile	https://blog.naver.com/bin3610	
studio-naver-1710978660	그레이스 음악연습실 남산점	naver-1710978660.webp	official-instagram-profile	https://www.instagram.com/grace_studio915	
studio-naver-1711670352	협동조합 꿈꾸는 문화놀이터 뜻	naver-1711670352.webp	naver-place-or-booking	https://m.booking.naver.com/booking/10/bizes/359523	1
studio-naver-1715608580	KCO실용음악연습실	naver-1715608580.webp	naver-place-or-booking	https://m.booking.naver.com/booking/10/bizes/1326296	1
studio-naver-1716270435	팍스뮤직랩	naver-1716270435.webp	naver-place-or-booking	https://m.booking.naver.com/booking/10/bizes/1083788	1
studio-naver-1726093950	상계청소년문화의집	naver-1726093950.webp	official-web-profile	http://www.madiyc.or.kr/	
studio-naver-1727420146	바인드 합주실	naver-1727420146.webp	official-instagram-profile	https://www.instagram.com/studio.bind_official/	
studio-naver-1772561741	잇츠음악연습실	naver-1772561741.webp	official-instagram-profile	https://www.instagram.com/its.music.studio	
studio-naver-1839719342	밴드대기실	naver-1839719342.webp	official-instagram-profile	https://www.instagram.com/greenroom.jeju	
studio-naver-1843009753	몰디브합주실	naver-1843009753.webp	naver-place-or-booking	https://m.booking.naver.com/booking/10/bizes/1134440	1
studio-naver-1845196611	글로리아뮤직스튜디오	naver-1845196611.webp	naver-place-or-booking	https://m.booking.naver.com/booking/10/bizes/656151	2
studio-naver-1882207832	비전음악당	naver-1882207832.webp	naver-place-or-booking	https://m.booking.naver.com/booking/10/bizes/1251418	1
studio-naver-1905868181	조져비트 드럼 스튜디오 연신내점	naver-1905868181.webp	naver-place-or-booking	https://m.booking.naver.com/booking/10/bizes/698143	1
studio-naver-1923256736	영사운드	naver-1923256736.webp	official-instagram-profile	https://www.instagram.com/0__sound	
studio-naver-1945784473	폴음악연습실 & 합주실	naver-1945784473.webp	naver-place-or-booking	https://m.booking.naver.com/booking/10/bizes/991010	6
studio-naver-1949311432	문쌤스튜디오	naver-1949311432.webp	official-naver-blog-profile	https://blog.naver.com/anseunki	
studio-naver-2000516693	디그루브스튜디오	naver-2000516693.webp	naver-place-or-booking	https://m.booking.naver.com/booking/10/bizes/1709172	1
studio-naver-2006423009	AR Drum&합주실	naver-2006423009.webp	naver-place-or-booking	https://m.booking.naver.com/booking/10/bizes/1448021	1
studio-naver-2006460524	바인드 합주실 역곡점	naver-2006460524.webp	naver-place-or-booking	https://m.booking.naver.com/booking/10/bizes/1714320	6
studio-naver-2007625357	프리티몬스터 합주실	naver-2007625357.webp	naver-place-or-booking	https://m.booking.naver.com/booking/10/bizes/1718909	5
studio-naver-2011868968	그루브비	naver-2011868968.webp	official-instagram-profile	https://www.instagram.com/groove._.b	
studio-naver-2017118519	스테이지포인트	naver-2017118519.webp	naver-place-or-booking	https://m.booking.naver.com/booking/10/bizes/1554830	2
studio-naver-2019256015	초이노트스튜디오	naver-2019256015.webp	official-instagram-profile	https://www.instagram.com/choinotestudio_official	
studio-naver-2022172535	라우드합주실 드럼연습실	naver-2022172535.webp	naver-place-or-booking	https://m.booking.naver.com/booking/10/bizes/1441434	1
studio-naver-2024646212	리봄 음악실	naver-2024646212.webp	official-naver-blog-profile	https://blog.naver.com/parksj5678	
studio-naver-2024692317	소리공방 합주실	naver-2024692317.webp	naver-place-or-booking	https://m.booking.naver.com/booking/10/bizes/1691207	1
studio-naver-2024983455	네뷸라 임팩트 합주실 [연습실]	naver-2024983455.webp	official-instagram-profile	https://www.instagram.com/nebula_impact_studio	
studio-naver-2026154803	트랙원합주실	naver-2026154803.webp	naver-place-or-booking	https://m.booking.naver.com/booking/10/bizes/1512926	3
studio-naver-2033382004	사운드시티합주실 낙성대점	naver-2033382004.webp	official-instagram-profile	https://www.instagram.com/soundcity.studio	
studio-naver-2034080850	한스합주실	naver-2034080850.webp	naver-place-or-booking	https://m.booking.naver.com/booking/10/bizes/1630117	1
studio-naver-2035698494	스튜디오 데시벨 합주실	naver-2035698494.webp	official-instagram-profile	https://www.instagram.com/decibel.studio__	
studio-naver-2039748344	뮤직네이션스	naver-2039748344.webp	naver-place-or-booking	https://m.booking.naver.com/booking/10/bizes/1521871	1
studio-naver-2041388352	언더그라운드 합주실 정자점	naver-2041388352.webp	official-instagram-profile	https://www.instagram.com/underground_bandstudio	
studio-naver-2041432657	그루브뮤직아트센터	naver-2041432657.webp	naver-place-or-booking	https://m.booking.naver.com/booking/6/bizes/1475318	1
studio-naver-2044485265	은빛녹음스튜디오	naver-2044485265.webp	naver-place-or-booking	https://m.booking.naver.com/booking/10/bizes/1490206	1
studio-naver-2048803497	비욘드재즈스튜디오	naver-2048803497.webp	official-instagram-profile	https://www.instagram.com/beyondjazzstudio	
studio-naver-2056223523	제이투실용음악학원	naver-2056223523.webp	official-instagram-profile	https://www.instagram.com/j2_music_official	
studio-naver-2061039687	사운드뱅크 뮤직스페이스	naver-2061039687.webp	official-instagram-profile	https://www.instagram.com/soundbank_musicspace	
studio-naver-2061917896	하이노트스튜디오	naver-2061917896.webp	official-instagram-profile	https://www.instagram.com/highnote.studio/	
studio-naver-2063757808	디에스씨 합주실	naver-2063757808.webp	official-instagram-profile	https://www.instagram.com/bandstudiodsc	
studio-naver-2064603173	필인 스튜디오 합주실	naver-2064603173.webp	official-naver-blog-profile	https://blog.naver.com/mrjerk58	
studio-naver-2064616859	서드럼 합주실	naver-2064616859.webp	naver-place-or-booking	https://m.booking.naver.com/booking/10/bizes/1641413	1
studio-naver-2067757982	연신내드럼연습실합주실모두의악기	naver-2067757982.webp	official-instagram-profile	https://www.instagram.com/modu_drum_yeonsinnae	
studio-naver-2068483762	더브릿지스튜디오	naver-2068483762.webp	naver-place-or-booking	https://m.booking.naver.com/booking/10/bizes/1495223	1
studio-naver-2070351623	솜 스튜디오	naver-2070351623.webp	naver-place-or-booking	https://m.booking.naver.com/booking/10/bizes/1488638	7
studio-naver-2071234431	창스튜디오	naver-2071234431.webp	official-instagram-profile	https://www.instagram.com/changstudio_dunsan	
studio-naver-2071949432	사운드랩 합주실	naver-2071949432.webp	naver-place-or-booking	https://m.booking.naver.com/booking/10/bizes/1696200	1
studio-naver-2072223325	그레이프 합주실	naver-2072223325.webp	naver-place-or-booking	https://m.booking.naver.com/booking/10/bizes/1553718	3
studio-naver-2077712012	소리온 음악연습실	naver-2077712012.webp	naver-place-or-booking	https://m.booking.naver.com/booking/10/bizes/1676754	1
studio-naver-2079096226	인천 청라 합주실 바드 색소폰 드럼 뮤직 스튜디오	naver-2079096226.webp	naver-place-or-booking	https://m.booking.naver.com/booking/10/bizes/1692221	1
studio-naver-2083646416	스몰즈뮤직스튜디오	naver-2083646416.webp	official-instagram-profile	https://www.instagram.com/musicstudio_smalls	
studio-naver-2088771878	리프 베이스 레슨 [합주실]	naver-2088771878.webp	official-instagram-profile	https://www.instagram.com/repeu_bass_lesson/	
studio-naver-2091202309	액츠스튜디오	naver-2091202309.webp	official-instagram-profile	https://www.instagram.com/acts.studio_	
studio-naver-2095488188	인사이드 합주실 [음악연습실]	naver-2095488188.webp	official-instagram-profile	https://www.instagram.com/inside_rehearsal_room	
studio-naver-2098186164	벨라뮤직 노래연습장	naver-2098186164.webp	naver-place-or-booking	https://m.booking.naver.com/booking/10/bizes/1670639	3
studio-naver-34521725	비커즈뮤직 합주실 녹음실	naver-34521725.webp	official-instagram-profile	https://www.instagram.com/urbanlight.bcuzmusic	
studio-naver-35958484	플레이댓합주실	naver-35958484.webp	official-web-profile	https://www.youtube.com/@PLAYTHATKPOP	
studio-naver-38314980	올사운드 합주실	naver-38314980.webp	naver-place-or-booking	https://m.booking.naver.com/booking/10/bizes/305181	1
studio-naver-38407689	R&R studio	naver-38407689.webp	naver-place-or-booking	https://m.booking.naver.com/booking/10/bizes/1133178	7
